dataset,state,year,number_of_rows,column,noise_type,proportion
decennial_census,HI,3000,4444296,age,copy_from_household_member,0.7313369766550203
decennial_census,IA,3000,10177650,age,copy_from_household_member,0.6927209129808944
decennial_census,ID,3000,5895286,age,copy_from_household_member,0.7126695804071252
decennial_census,IL,3000,40224311,age,copy_from_household_member,0.7114764750103488
decennial_census,IN,3000,21273779,age,copy_from_household_member,0.7249961560661131
decennial_census,KS,3000,9276246,age,copy_from_household_member,0.7307695375909609
decennial_census,KY,3000,14680627,age,copy_from_household_member,0.7094725586311811
decennial_census,LA,3000,14435767,age,copy_from_household_member,0.707977553253665
decennial_census,MA,3000,22758663,age,copy_from_household_member,0.7106436349094848
decennial_census,MD,3000,19461130,age,copy_from_household_member,0.7091729514164902
decennial_census,ME,3000,4681868,age,copy_from_household_member,0.6709097736202729
decennial_census,MI,3000,31089740,age,copy_from_household_member,0.7136230151812141
decennial_census,MN,3000,18503685,age,copy_from_household_member,0.7127567292677107
decennial_census,MO,3000,20043929,age,copy_from_household_member,0.7133734109714717
decennial_census,MS,3000,8932561,age,copy_from_household_member,0.7259678383388594
decennial_census,MT,3000,3319945,age,copy_from_household_member,0.6911725947267199
decennial_census,NC,3000,33955321,age,copy_from_household_member,0.7008013265431948
decennial_census,ND,3000,2510465,age,copy_from_household_member,0.6533204008022419
decennial_census,NE,3000,6354830,age,copy_from_household_member,0.6987510287450648
decennial_census,NH,3000,4428767,age,copy_from_household_member,0.7172944523836996
decennial_census,NJ,3000,30744687,age,copy_from_household_member,0.7217982085815348
decennial_census,NM,3000,7179773,age,copy_from_household_member,0.7136207509624608
decennial_census,NV,3000,8596726,age,copy_from_household_member,0.7415178755261015
decennial_census,NY,3000,63462889,age,copy_from_household_member,0.720121045860361
decennial_census,OH,3000,39240114,age,copy_from_household_member,0.7091893514886323
decennial_census,OK,3000,11986697,age,copy_from_household_member,0.7291068590454902
decennial_census,OR,3000,13375852,age,copy_from_household_member,0.7299787706981208
decennial_census,PA,3000,41836004,age,copy_from_household_member,0.7003187493719525
decennial_census,RI,3000,3327595,age,copy_from_household_member,0.6954578306554734
decennial_census,SC,3000,14883198,age,copy_from_household_member,0.6923683337411758
decennial_census,SD,3000,2576312,age,copy_from_household_member,0.7425195395588733
decennial_census,TN,3000,21519450,age,copy_from_household_member,0.7122116968602822
decennial_census,TX,3000,91501109,age,copy_from_household_member,0.7234071884309075
decennial_census,UT,3000,9576966,age,copy_from_household_member,0.7409890564506546
decennial_census,VA,3000,26110247,age,copy_from_household_member,0.7103524145137348
decennial_census,VT,3000,1878879,age,copy_from_household_member,0.717914777907465
decennial_census,WA,3000,24452104,age,copy_from_household_member,0.7240030142191445
decennial_census,WI,3000,18116926,age,copy_from_household_member,0.7175447976108088
decennial_census,WV,3000,5666040,age,copy_from_household_member,0.7232259214548432
decennial_census,WY,3000,2068881,age,copy_from_household_member,0.6920349696285093
decennial_census,USA,2020,336083310,age,copy_from_household_member,0.8281164095890391
decennial_census,USA,2030,348202171,age,copy_from_household_member,0.6954831249458235
decennial_census,USA,2040,353776603,age,copy_from_household_member,0.6308372942345201
decennial_census,AK,2020,719300,date_of_birth,copy_from_household_member,0.8461629361879606
decennial_census,AK,2030,713310,date_of_birth,copy_from_household_member,0.7133840826569093
decennial_census,AK,2040,716943,date_of_birth,copy_from_household_member,0.6508927487959294
decennial_census,AL,2020,4902168,date_of_birth,copy_from_household_member,0.812700625519158
decennial_census,AL,2030,5066726,date_of_birth,copy_from_household_member,0.6841453435611083
decennial_census,AL,2040,5149687,date_of_birth,copy_from_household_member,0.6232202073640593
decennial_census,AR,2020,3093966,date_of_birth,copy_from_household_member,0.8173211987462047
decennial_census,AR,2030,3077282,date_of_birth,copy_from_household_member,0.6777708380317436
decennial_census,AR,2040,3104655,date_of_birth,copy_from_household_member,0.6110984956460541
decennial_census,AZ,2020,7500895,date_of_birth,copy_from_household_member,0.8244850781140117
decennial_census,AZ,2030,7979499,date_of_birth,copy_from_household_member,0.6863350694072398
decennial_census,AZ,2040,8180930,date_of_birth,copy_from_household_member,0.6203831349247579
decennial_census,CA,2020,39618534,date_of_birth,copy_from_household_member,0.8569541720044462
decennial_census,CA,2030,40037847,date_of_birth,copy_from_household_member,0.7163152654037566
decennial_census,CA,2040,40290235,date_of_birth,copy_from_household_member,0.6445721153028767
decennial_census,CO,2020,5804579,date_of_birth,copy_from_household_member,0.8285305445924674
decennial_census,CO,2030,6096234,date_of_birth,copy_from_household_member,0.699125394464845
decennial_census,CO,2040,6211119,date_of_birth,copy_from_household_member,0.6366426081999073
decennial_census,CT,2020,3717712,date_of_birth,copy_from_household_member,0.8256309256876272
decennial_census,CT,2030,3873267,date_of_birth,copy_from_household_member,0.6963700152868366
decennial_census,CT,2040,3916574,date_of_birth,copy_from_household_member,0.6326723304602441
decennial_census,DC,2020,638290,date_of_birth,copy_from_household_member,0.746521173761143
decennial_census,DC,2030,692719,date_of_birth,copy_from_household_member,0.6941891300801624
decennial_census,DC,2040,708537,date_of_birth,copy_from_household_member,0.654104161109441
decennial_census,DE,2020,982110,date_of_birth,copy_from_household_member,0.8105996273329872
decennial_census,DE,2030,988670,date_of_birth,copy_from_household_member,0.6575379044575035
decennial_census,DE,2040,996504,date_of_birth,copy_from_household_member,0.5844291643585977
decennial_census,FL,2020,21123234,date_of_birth,copy_from_household_member,0.8169232514301551
decennial_census,FL,2030,22507492,date_of_birth,copy_from_household_member,0.6866027098887784
decennial_census,FL,2040,22959862,date_of_birth,copy_from_household_member,0.6247750966447446
decennial_census,GA,2020,10544399,date_of_birth,copy_from_household_member,0.8292248804317819
decennial_census,GA,2030,10704156,date_of_birth,copy_from_household_member,0.6891570900125148
decennial_census,GA,2040,10895334,date_of_birth,copy_from_household_member,0.6236052056779535
decennial_census,HI,2020,1434723,date_of_birth,copy_from_household_member,0.8507948921150633
decennial_census,HI,2030,1493534,date_of_birth,copy_from_household_member,0.709511802208721
decennial_census,HI,2040,1516039,date_of_birth,copy_from_household_member,0.6397876307931393
decennial_census,IA,2020,3330296,date_of_birth,copy_from_household_member,0.8069171629188516
decennial_census,IA,2030,3393454,date_of_birth,copy_from_household_member,0.6703718394296785
decennial_census,IA,2040,3453900,date_of_birth,copy_from_household_member,0.6045693274269666
decennial_census,ID,2020,1857397,date_of_birth,copy_from_household_member,0.8328418749464978
decennial_census,ID,2030,1984361,date_of_birth,copy_from_household_member,0.6901481131709402
decennial_census,ID,2040,2053528,date_of_birth,copy_from_household_member,0.6257377547323436
decennial_census,IL,2020,13207053,date_of_birth,copy_from_household_member,0.8210757539929612
decennial_census,IL,2030,13443389,date_of_birth,copy_from_household_member,0.6911527294196427
decennial_census,IL,2040,13573869,date_of_birth,copy_from_household_member,0.6249673545545489
decennial_census,IN,2020,6904081,date_of_birth,copy_from_household_member,0.8291031058297259
decennial_census,IN,2030,7135731,date_of_birth,copy_from_household_member,0.7051323823725979
decennial_census,IN,2040,7233967,date_of_birth,copy_from_household_member,0.6452307565129893
decennial_census,KS,2020,3018623,date_of_birth,copy_from_household_member,0.8320611749131972
decennial_census,KS,2030,3106265,date_of_birth,copy_from_household_member,0.7111164050716857
decennial_census,KS,2040,3151358,date_of_birth,copy_from_household_member,0.6531162121218852
decennial_census,KY,2020,4677069,date_of_birth,copy_from_household_member,0.8199598936855539
decennial_census,KY,2030,4944259,date_of_birth,copy_from_household_member,0.6891756681840494
decennial_census,KY,2040,5059299,date_of_birth,copy_from_household_member,0.6271679139738529
decennial_census,LA,2020,4601393,date_of_birth,copy_from_household_member,0.812828636893219
decennial_census,LA,2030,4852149,date_of_birth,copy_from_household_member,0.6885511965935094
decennial_census,LA,2040,4982225,date_of_birth,copy_from_household_member,0.630060264239371
decennial_census,MA,2020,7212623,date_of_birth,copy_from_household_member,0.8217163159643863
decennial_census,MA,2030,7690001,date_of_birth,copy_from_household_member,0.6909123938995586
decennial_census,MA,2040,7856039,date_of_birth,copy_from_household_member,0.6279821166875572
decennial_census,MD,2020,6259432,date_of_birth,copy_from_household_member,0.827335451523397
decennial_census,MD,2030,6525804,date_of_birth,copy_from_household_member,0.6869080039792798
decennial_census,MD,2040,6675894,date_of_birth,copy_from_household_member,0.6201461557058875
decennial_census,ME,2020,1464055,date_of_birth,copy_from_household_member,0.7875749203411074
decennial_census,ME,2030,1588701,date_of_birth,copy_from_household_member,0.6517828087223461
decennial_census,ME,2040,1629112,date_of_birth,copy_from_household_member,0.5847173183918601
decennial_census,MI,2020,10368543,date_of_birth,copy_from_household_member,0.8195773504531929
decennial_census,MI,2030,10357551,date_of_birth,copy_from_household_member,0.6920691966662775
decennial_census,MI,2040,10363646,date_of_birth,copy_from_household_member,0.629159757097068
decennial_census,MN,2020,5937060,date_of_birth,copy_from_household_member,0.8222165516265626
decennial_census,MN,2030,6214952,date_of_birth,copy_from_household_member,0.6928795266640837
decennial_census,MN,2040,6351673,date_of_birth,copy_from_household_member,0.6298913687779581
decennial_census,MO,2020,6419237,date_of_birth,copy_from_household_member,0.8190274015432052
decennial_census,MO,2030,6745818,date_of_birth,copy_from_household_member,0.6939862593387488
decennial_census,MO,2040,6878874,date_of_birth,copy_from_household_member,0.6337912280411009
decennial_census,MS,2020,2938604,date_of_birth,copy_from_household_member,0.8289415654508059
decennial_census,MS,2030,2979232,date_of_birth,copy_from_household_member,0.7045825904125627
decennial_census,MS,2040,3014725,date_of_birth,copy_from_household_member,0.6467276451417625
decennial_census,MT,2020,1102960,date_of_birth,copy_from_household_member,0.7999474142307972
decennial_census,MT,2030,1109503,date_of_birth,copy_from_household_member,0.6693312230791625
decennial_census,MT,2040,1107482,date_of_birth,copy_from_household_member,0.6047231467418883
decennial_census,NC,2020,10746698,date_of_birth,copy_from_household_member,0.8134549793806433
decennial_census,NC,2030,11447316,date_of_birth,copy_from_household_member,0.6803455063178129
decennial_census,NC,2040,11761307,date_of_birth,copy_from_household_member,0.6177756434722773
decennial_census,ND,2020,822699,date_of_birth,copy_from_household_member,0.7764322066758316
decennial_census,ND,2030,832209,date_of_birth,copy_from_household_member,0.6299823722165946
decennial_census,ND,2040,855557,date_of_birth,copy_from_household_member,0.5576378897022641
decennial_census,NE,2020,2075241,date_of_birth,copy_from_household_member,0.8152041136427046
decennial_census,NE,2030,2117013,date_of_birth,copy_from_household_member,0.6758739790450035
decennial_census,NE,2040,2162576,date_of_birth,copy_from_household_member,0.6093959241201234
decennial_census,NH,2020,1424514,date_of_birth,copy_from_household_member,0.8291480462810474
decennial_census,NH,2030,1495855,date_of_birth,copy_from_household_member,0.6967119139221382
decennial_census,NH,2040,1508398,date_of_birth,copy_from_household_member,0.6320725697064038
decennial_census,NJ,2020,9538383,date_of_birth,copy_from_household_member,0.8387294785709486
decennial_census,NJ,2030,10432479,date_of_birth,copy_from_household_member,0.7029548777428644
decennial_census,NJ,2040,10773825,date_of_birth,copy_from_household_member,0.636521848090163
decennial_census,NM,2020,2157268,date_of_birth,copy_from_household_member,0.8119107129943984
decennial_census,NM,2030,2461686,date_of_birth,copy_from_household_member,0.6995481958300125
decennial_census,NM,2040,2560819,date_of_birth,copy_from_household_member,0.6443477653047717
decennial_census,NV,2020,3021759,date_of_birth,copy_from_household_member,0.8432297214966514
decennial_census,NV,2030,2827176,date_of_birth,copy_from_household_member,0.7181013845618384
decennial_census,NV,2040,2747791,date_of_birth,copy_from_household_member,0.6537578731424625
decennial_census,NY,2020,20447573,date_of_birth,copy_from_household_member,0.8260146081884633
decennial_census,NY,2030,21354684,date_of_birth,copy_from_household_member,0.7019255822282362
decennial_census,NY,2040,21660632,date_of_birth,copy_from_household_member,0.6380962937738843
decennial_census,OH,2020,12372405,date_of_birth,copy_from_household_member,0.8126622107827863
decennial_census,OH,2030,13254813,date_of_birth,copy_from_household_member,0.6914234851898703
decennial_census,OH,2040,13612896,date_of_birth,copy_from_household_member,0.6324441176954558
decennial_census,OK,2020,3964574,date_of_birth,copy_from_household_member,0.8320028835380547
decennial_census,OK,2030,3991128,date_of_birth,copy_from_household_member,0.7074744282819293
decennial_census,OK,2040,4030995,date_of_birth,copy_from_household_member,0.6493247944986288
decennial_census,OR,2020,4362653,date_of_birth,copy_from_household_member,0.8349657880193543
decennial_census,OR,2030,4491615,date_of_birth,copy_from_household_member,0.7095581433404243
decennial_census,OR,2040,4521584,date_of_birth,copy_from_household_member,0.6489672645692306
decennial_census,PA,2020,13523806,date_of_birth,copy_from_household_member,0.8117930706784762
decennial_census,PA,2030,14055890,date_of_birth,copy_from_household_member,0.6802157671979505
decennial_census,PA,2040,14256308,date_of_birth,copy_from_household_member,0.6143924499947673
decennial_census,RI,2020,1088772,date_of_birth,copy_from_household_member,0.8065334156278817
decennial_census,RI,2030,1116761,date_of_birth,copy_from_household_member,0.6750808812270486
decennial_census,RI,2040,1122062,date_of_birth,copy_from_household_member,0.6079583837613252
decennial_census,SC,2020,5053194,date_of_birth,copy_from_household_member,0.8101525490610493
decennial_census,SC,2030,4925211,date_of_birth,copy_from_household_member,0.6664114491744617
decennial_census,SC,2040,4904793,date_of_birth,copy_from_household_member,0.5970853408084704
decennial_census,SD,2020,883164,date_of_birth,copy_from_household_member,0.8336990638205362
decennial_census,SD,2030,851023,date_of_birth,copy_from_household_member,0.722028664325171
decennial_census,SD,2040,842125,date_of_birth,copy_from_household_member,0.6676039780317649
decennial_census,TN,2020,6990022,date_of_birth,copy_from_household_member,0.8221270262096457
decennial_census,TN,2030,7209495,date_of_birth,copy_from_household_member,0.6906953954472539
decennial_census,TN,2040,7319933,date_of_birth,copy_from_household_member,0.6284419543184343
decennial_census,TX,2020,29231200,date_of_birth,copy_from_household_member,0.841959242179589
decennial_census,TX,2030,30721242,date_of_birth,copy_from_household_member,0.7017075351315549
decennial_census,TX,2040,31548667,date_of_birth,copy_from_household_member,0.6346941377903542
decennial_census,UT,2020,3224090,date_of_birth,copy_from_household_member,0.8697837219184328
decennial_census,UT,2030,3150751,date_of_birth,copy_from_household_member,0.7121010197251385
decennial_census,UT,2040,3202125,date_of_birth,copy_from_household_member,0.6397354881523988
decennial_census,VA,2020,8636071,date_of_birth,copy_from_household_member,0.8256114383496848
decennial_census,VA,2030,8704652,date_of_birth,copy_from_household_member,0.6868454936509811
decennial_census,VA,2040,8769524,date_of_birth,copy_from_household_member,0.6201804111602864
decennial_census,VT,2020,639373,date_of_birth,copy_from_household_member,0.8132936486213838
decennial_census,VT,2030,626788,date_of_birth,copy_from_household_member,0.6980924969846264
decennial_census,VT,2040,612718,date_of_birth,copy_from_household_member,0.6386641162818785
decennial_census,WA,2020,7955923,date_of_birth,copy_from_household_member,0.8357455194073649
decennial_census,WA,2030,8187308,date_of_birth,copy_from_household_member,0.7024874354305469
decennial_census,WA,2040,8308873,date_of_birth,copy_from_household_member,0.6382079735723485
decennial_census,WI,2020,6065946,date_of_birth,copy_from_household_member,0.8198374993776734
decennial_census,WI,2030,6031867,date_of_birth,copy_from_household_member,0.6965972558745078
